%HTA01.xlt		3 mS Echo Tracking			
%c-PRE	c-DIAM	c-ECG	f-PRE	f-DIAM	f-ECG
111.6043243	6.502999783	-0.054949999	115.5174637	8.739999771	-0.113600001
111.454071	6.506999969	-0.052499998	115.560318	8.748000145	-0.113600001
111.3038254	6.508999825	-0.054949999	115.5174637	8.755000114	-0.113600001
111.1965103	6.512000084	-0.052499998	115.560318	8.762000084	-0.113600001
111.0891876	6.513999939	-0.054949999	115.560318	8.769000053	-0.111100003
110.9389343	6.515999794	-0.054949999	115.560318	8.776000023	-0.111100003
110.8316193	6.519000053	-0.052499998	115.5174637	8.781999588	-0.113600001
110.6599045	6.521999836	-0.05006	115.560318	8.788000107	-0.111100003
110.5096588	6.525000095	-0.05006	115.560318	8.793000221	-0.111100003
110.4023361	6.527999878	-0.05006	115.560318	8.798000336	-0.111100003
110.1876984	6.53000021	-0.047619998	115.560318	8.80300045	-0.1087
110.1018448	6.532000065	-0.04518	115.560318	8.80700016	-0.106200002
109.93013	6.53399992	-0.047619998	115.5174637	8.81099987	-0.106200002
109.8228149	6.535999775	-0.047619998	115.560318	8.81499958	-0.103799999
109.6725616	6.539000034	-0.047619998	115.560318	8.817000389	-0.101300001
109.522316	6.540999889	-0.04518	115.624588	8.819999695	-0.101300001
109.3506012	6.543000221	-0.047619998	115.560318	8.822999954	-0.098899998
109.2432861	6.544000149	-0.04518	115.560318	8.824999809	-0.098899998
109.0930328	6.546000004	-0.04518	115.560318	8.828000069	-0.098899998
108.9857178	6.546999931	-0.047619998	115.560318	8.829000473	-0.094020002
108.8783951	6.548999786	-0.047619998	115.560318	8.829999924	-0.091580003
108.7710724	6.550000191	-0.05006	115.560318	8.829999924	-0.086690001
108.6208267	6.550000191	-0.047619998	115.560318	8.831000328	-0.086690001
108.4705811	6.551000118	-0.047619998	115.560318	8.831999779	-0.086690001
108.3203354	6.552000046	-0.047619998	115.560318	8.831999779	-0.086690001
108.1486206	6.552000046	-0.04518	115.560318	8.833000183	-0.084250003
107.9983673	6.552000046	-0.04518	115.560318	8.835000038	-0.081809998
107.8910522	6.552999973	-0.042739999	115.560318	8.833999634	-0.081809998
107.7408066	6.552999973	-0.042739999	115.560318	8.833999634	-0.079369999
107.6334839	6.552999973	-0.042739999	115.560318	8.833999634	-0.079369999
107.5261688	6.552999973	-0.040290002	115.560318	8.833000183	-0.081809998
107.3115234	6.552000046	-0.03785	115.560318	8.833999634	-0.079369999
107.2042007	6.551000118	-0.03297	115.560318	8.835000038	-0.079369999
107.0968857	6.550000191	-0.03297	115.560318	8.833000183	-0.079369999
106.989563	6.547999859	-0.02808	115.560318	8.833000183	-0.079369999
106.9037094	6.545000076	-0.02808	115.560318	8.833000183	-0.076920003
106.7963867	6.543000221	-0.0232	115.560318	8.831999779	-0.076920003
106.6890717	6.539999962	-0.0232	115.560318	8.831999779	-0.074479997
106.6246796	6.538000107	-0.0232	115.624588	8.831000328	-0.072039999
106.4744263	6.534999847	-0.015869999	115.560318	8.829999924	-0.069600001
106.3241806	6.532999992	-0.01343	115.560318	8.831000328	-0.069600001
106.2168579	6.53000021	-0.008547	115.560318	8.829000473	-0.069600001
106.0666122	6.527999878	-0.01099	115.560318	8.828000069	-0.067160003
106.0022202	6.525000095	-0.006105	115.560318	8.826999664	-0.064709999
105.8519745	6.521999836	-0.003663	115.624588	8.826000214	-0.064709999
105.7446518	6.519000053	-0.003663	115.560318	8.824999809	-0.064709999
105.6802597	6.515999794	0.001221	115.560318	8.822999954	-0.067160003
105.530014	6.512000084	0.001221	115.624588	8.82199955	-0.064709999
105.4226913	6.508999825	0.006105	115.624588	8.821000099	-0.067160003
105.2724457	6.504000187	0.006105	115.624588	8.819000244	-0.064709999
105.2080536	6.500999928	0.008547	115.624588	8.815999985	-0.062270001
105.1222	6.495999813	0.006105	115.624588	8.81400013	-0.064709999
105.0148773	6.491000175	0.006105	115.560318	8.812000275	-0.064709999
104.9504852	6.486000061	0.006105	115.624588	8.809000015	-0.064709999
104.8431702	6.481999874	0.006105	115.624588	8.807999611	-0.064709999
104.7358475	6.478000164	0.008547	115.624588	8.803999901	-0.064709999
104.5855942	6.473999977	0.008547	115.624588	8.80300045	-0.064709999
104.5426636	6.46999979	0.01099	115.624588	8.800000191	-0.064709999
104.3709564	6.46600008	0.008547	115.624588	8.798000336	-0.067160003
104.3280258	6.464000225	0.006105	115.624588	8.795000076	-0.064709999
104.2636337	6.461999893	0.006105	115.624588	8.791999817	-0.064709999
104.1777802	6.460000038	0.003663	115.624588	8.789999962	-0.064709999
104.1777802	6.459000111	0.001221	115.624588	8.786999702	-0.064709999
104.006073	6.456999779	-0.001221	115.624588	8.784999847	-0.064709999
103.9631424	6.455999851	-0.001221	115.624588	8.782999992	-0.067160003
103.8558197	6.454999924	-0.006105	115.624588	8.781000137	-0.067160003
103.748497	6.453000069	-0.01099	115.624588	8.777999878	-0.064709999
103.748497	6.451000214	-0.01343	115.624588	8.776000023	-0.064709999
103.5982513	6.448999882	-0.02076	115.624588	8.774000168	-0.064709999
103.5338593	6.447999954	-0.02076	115.624588	8.772000313	-0.064709999
103.4265442	6.446000099	-0.02564	115.624588	8.770000458	-0.064709999
103.340683	6.443999767	-0.02564	115.624588	8.767999649	-0.067160003
103.2333679	6.44299984	-0.02808	115.624588	8.765999794	-0.064709999
103.1260452	6.440999985	-0.02808	115.624588	8.763999939	-0.064709999
103.0616531	6.43900013	-0.03053	115.624588	8.762000084	-0.064709999
103.0187225	6.436999798	-0.03297	115.624588	8.760000229	-0.064709999
102.9543304	6.43599987	-0.035409998	115.6674347	8.756999969	-0.064709999
102.8684769	6.434000015	-0.03785	115.624588	8.755999565	-0.064709999
102.8684769	6.434000015	-0.035409998	115.624588	8.75399971	-0.062270001
102.7611542	6.433000088	-0.03785	115.624588	8.751999855	-0.057390001
102.6967621	6.431000233	-0.040290002	115.624588	8.751000404	-0.059829999
102.589447	6.428999901	-0.03785	115.624588	8.748000145	-0.059829999
102.5465164	6.427000046	-0.03785	115.624588	8.748000145	-0.059829999
102.5465164	6.425000191	-0.040290002	115.624588	8.74600029	-0.059829999
102.4392014	6.422999859	-0.040290002	115.6674347	8.743000031	-0.059829999
102.4392014	6.421999931	-0.040290002	115.6674347	8.743000031	-0.057390001
102.3962708	6.419000149	-0.03785	115.624588	8.741000175	-0.057390001
102.2889481	6.418000221	-0.040290002	115.624588	8.741000175	-0.059829999
102.2245636	6.415999889	-0.03785	115.624588	8.739999771	-0.059829999
102.1172409	6.413000107	-0.035409998	115.624588	8.73900032	-0.059829999
102.0743103	6.410999775	-0.035409998	115.6674347	8.737999916	-0.059829999
102.0099182	6.40899992	-0.03785	115.624588	8.737999916	-0.057390001
101.9669876	6.407999992	-0.03785	115.624588	8.737000465	-0.057390001
101.924057	6.406000137	-0.03785	115.624588	8.737000465	-0.057390001
101.8596649	6.403999805	-0.03785	115.624588	8.737000465	-0.057390001
101.8167419	6.40199995	-0.035409998	115.6674347	8.736000061	-0.057390001
101.8167419	6.400000095	-0.035409998	115.6674347	8.736000061	-0.057390001
101.7094193	6.397999763	-0.03297	115.6674347	8.736000061	-0.054949999
101.6450272	6.395999908	-0.035409998	115.624588	8.734999657	-0.054949999
101.6021042	6.393000126	-0.035409998	115.624588	8.734999657	-0.057390001
101.5591736	6.390999794	-0.040290002	115.6674347	8.734999657	-0.052499998
101.4947815	6.389999866	-0.042739999	115.6674347	8.734000206	-0.052499998
101.3874664	6.388000011	-0.042739999	115.6674347	8.734000206	-0.05006
101.2801437	6.385000229	-0.04518	115.6674347	8.734000206	-0.05006
101.2372131	6.382999897	-0.04518	115.624588	8.734000206	-0.05006
101.0869598	6.380000114	-0.04518	115.6674347	8.734000206	-0.052499998
100.9796448	6.376999855	-0.035409998	115.6674347	8.734999657	-0.05006
100.8723221	6.375	-0.02564	115.6674347	8.734000206	-0.047619998
100.765007	6.372000217	-0.006105	115.6674347	8.734999657	-0.04518
100.6576843	6.368999958	0.02076	115.6674347	8.734999657	-0.042739999
100.6147614	6.367000103	0.059829999	115.6674347	8.734999657	-0.042739999
